GENER01  1.00e+25  1.00e-06                                0.00  
VERTICES
 hp   1500.00   1300.00
 hq      0.00   1400.00
 hr    100.00   1400.00
 hs    200.00   1400.00
 ht    300.00   1400.00
 hu    400.00   1400.00
 hv    500.00   1400.00
 hw    600.00   1400.00
 hx    700.00   1400.00
 hy    800.00   1400.00
 hz    900.00   1400.00
 ia   1000.00   1400.00
 ib   1100.00   1400.00
 ic   1200.00   1400.00
 id   1300.00   1400.00
 ie   1400.00   1400.00
 if   1500.00   1400.00
 ig      0.00   1500.00
 ih    100.00   1500.00
 ii    200.00   1500.00
 ij    300.00   1500.00
 ik    400.00   1500.00
 il    500.00   1500.00
 im    600.00   1500.00
 in    700.00   1500.00
 io    800.00   1500.00
 ip    900.00   1500.00
 iq   1000.00   1500.00
 ir   1100.00   1500.00
 is   1200.00   1500.00
 it   1300.00   1500.00
 iu   1400.00   1500.00
 iv   1500.00   1500.00
 iw    450.00    900.00
 ix    549.79   1124.29
 iy    375.61    850.01
 iz    600.00    950.00
 ja    800.00   1050.00
 jb   1052.40    377.14
 jc    450.00   1000.00
 jd    850.00    500.00
 je   1050.00    600.00
 jf    500.00    850.00
 jg    700.00    950.00
 jh    900.00   1050.00
 ji    447.60   1122.86
 jj    950.21    375.71
 jk   1050.00    700.00
 jl    375.59    750.00
 jm    600.00    850.00
 jn    800.00    950.00
 jo   1000.00   1050.00
 jp    750.00    500.00
 jq    950.00    600.00
 jr    500.00    750.00
 js   1050.00    800.00
 jt    700.00    850.00
 ju    900.00    950.00
 jv   1122.86   1052.40
 jw    375.61    649.99
 jx    950.00    700.00
 jy    700.00   1050.00
 jz    850.01    375.61
 ka    600.00    750.00
 kb    800.00    850.00
 kc   1050.00    900.00
 kd   1000.00    950.00
 ke    650.00    500.00
 kf    850.00    600.00
 kg    500.00    650.00
 kh    950.00    800.00
 ki    700.00    750.00
 kj    900.00    850.00
 kk   1050.00   1000.00
 kl   1124.29    950.21
 km    375.71    549.79
 kn    600.00    650.00
 ko    850.00    700.00
 kp    950.00    900.00
 kq    750.00    375.59
 kr    800.00    750.00
 ks   1000.00    850.00
 kt   1052.40   1122.86
 ku    550.00    500.00
 kv    500.00    550.00
 kw    700.00    650.00
 kx    850.00    800.00
 ky    750.00    600.00
 kz    900.00    750.00
 la   1124.39    850.01
 lb    950.00   1000.00
 lc    377.14    447.60
 ld    600.00    550.00
 le    800.00    650.00
 lf    750.00    700.00
 lg    649.99    375.61
 lh   1000.00    750.00
 li    850.00    900.00
 lj    950.21   1124.29
 lk    450.00    500.00
 ll    500.00    450.00
 lm    700.00    550.00
 ln    650.00    600.00
 lo    900.00    650.00
 lp    750.00    800.00
 lq   1124.41    750.00
 lr    850.00   1000.00
 ls    600.00    450.00
 lt    549.79    375.71
 lu    800.00    550.00
 lv    650.00    700.00
 lw   1000.00    650.00
 lx    750.00    900.00
 ly    850.01   1124.39
 lz    550.00    600.00
 ma    700.00    450.00
 mb    900.00    550.00
 mc   1124.39    649.99
 md    650.00    800.00
 me    750.00   1000.00
 mf    550.00    700.00
 mg    447.60    377.14
 mh    800.00    450.00
 mi   1000.00    550.00
 mj    650.00    900.00
 mk    377.14   1052.40
 ml    750.00   1124.41
 mm    950.00    500.00
 mn    450.00    600.00
 mo    550.00    800.00
 mp    900.00    450.00
 mq   1050.00    500.00
 mr   1124.29    549.79
 ms    650.00   1000.00
 mt    500.00   1050.00
 mu    450.00    700.00
 mv    550.00    900.00
 mw   1000.00    450.00
 mx    649.99   1124.39
 my    375.71    950.21
 mz    600.00   1050.00
 na    450.00    800.00
 nb    550.00   1000.00
 nc   1122.86    447.60
 nd    500.00    950.00
 ne    950.00    650.00
 nf    750.00    950.00
 ng    450.00    550.00
 nh   1050.00    650.00
 ni    850.00    950.00
 nj    550.00    550.00
 nk    950.00    950.00
 nl    650.00    550.00
 nm   1050.00    950.00
 nn    450.00    850.00
 no    750.00    550.00
 np    550.00    850.00
 nq    850.00    550.00
 nr    650.00    850.00
 ns    950.00    550.00
 nt    750.00    850.00
 nu   1050.00    550.00
 nv    450.00    450.00
 nw    850.00    850.00
 nx    550.00    450.00
 ny    950.00    850.00
 nz    650.00    450.00
 oa   1050.00    850.00
 ob    450.00    750.00
 oc    750.00    450.00
 od    550.00    750.00
 oe    850.00    450.00
 of    650.00    750.00
 og    950.00    450.00
 oh    450.00   1050.00
 oi    750.00    750.00
 oj   1050.00    450.00
 ok    550.00   1050.00
 ol    850.00    750.00
 om    650.00   1050.00
 on    950.00    750.00
 oo    750.00   1050.00
 op    450.00    650.00
 oq   1050.00    750.00
 or    850.00   1050.00
 os    550.00    650.00
 ot    950.00   1050.00
 ou    650.00    650.00
 ov   1050.00   1050.00
 ow    450.00    950.00
 ox    750.00    650.00
 oy    550.00    950.00
 oz    850.00    650.00
 pa    650.00    950.00

GRID
  a0 4                    
  b
  r
  q
  a
  b0 4                    
  c
  s
  r
  b
  c0 4                    
  d
  t
  s
  c
  d0 4                    
  e
  u
  t
  d
  e0 4                    
  f
  v
  u
  e
  f0 4                    
  g
  w
  v
  f
  g0 4                    
  h
  x
  w
  g
  h0 4                    
  i
  y
  x
  h
  i0 4                    
  j
  z
  y
  i
  j0 4                    
  k
 aa
  z
  j
  k0 4                    
